state_id,env_step,left_seed,right_seed,action_rmse,vlm_last_layer_rmse,action_expert_last_layer_rmse,kv_key_norm_rmse,action_head_input_rmse,active_head_output_rmse,padding_head_output_rmse,active_row_energy_fraction,padding_row_energy_fraction,full_output_row_energy_fraction
libero_goal_task03_ep000_seed0_step0050,50,101,202,0.10066167700341841,0.0,0.4811135857926363,0.0,0.4769903575474816,1.2824941140561934,1.3715984643178176,0.0918600935438584,0.6506146150853336,0.7430613275761295
libero_goal_task03_ep000_seed0_step0050,50,101,303,0.09574162114003129,0.0,0.48994118615083104,0.0,0.4856335323781476,1.2747456322740707,1.4049225334539748,0.09047394442400675,0.6566203741935012,0.7470935328460095
libero_goal_task03_ep000_seed0_step0050,50,101,404,0.11173932746224931,0.0,0.47677361266768614,0.0,0.47195682212980444,1.2162669641630566,1.360152915886292,0.08729974764523885,0.6507922400159958,0.7381627988648802
libero_goal_task03_ep000_seed0_step0050,50,202,303,0.09834614779314817,0.0,0.4809492978507572,0.0,0.4778210943273717,1.315649236722362,1.3727763740499321,0.09569472325868086,0.6494534348579507,0.7452055762711234
libero_goal_task03_ep000_seed0_step0050,50,202,404,0.10128060350310611,0.0,0.4848927130943266,0.0,0.4806594688053472,1.2827067509743497,1.3894430472800003,0.08913287035669074,0.6564374046250921,0.7459119876475754
libero_goal_task03_ep000_seed0_step0050,50,303,404,0.11855742070985462,0.0,0.4867560596013008,0.0,0.48282741960149206,1.2433865931357753,1.4006494362720425,0.08352420230924464,0.6595632177458707,0.7432352532291274
